timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
20000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
524000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1028000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1256000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1520000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2024000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2528000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3032000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3536000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4040000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4544000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5048000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5552000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6056000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6560000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6608000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
6656000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
7160000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
7664000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
8168000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
8672000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
9176000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
9680000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
10184000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
10688000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
11192000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
11252000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
11756000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
12260000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
12764000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
13268000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
13772000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
14276000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
14780000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
15284000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
15788000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
16292000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
16304000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
16808000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
17312000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
17816000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
18320000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
18824000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
19328000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
19832000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
20336000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
20840000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21344000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21848000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22352000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22856000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23360000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23864000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24368000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24872000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25376000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25880000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26384000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26888000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27392000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27896000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28400000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28904000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29408000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29912000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
30416000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
30920000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
31424000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
31928000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
32432000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
32936000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
33440000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
33944000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
34448000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
34952000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
35456000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
35960000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
36464000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
36968000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
37472000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
37976000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
38480000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
38984000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
39488000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
39992000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
40496000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
41000000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
41504000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
42008000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
42512000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
43016000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
43520000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
44024000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
44528000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
45032000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
45536000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
46040000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
46544000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
47048000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
47552000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
48056000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
48560000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
49064000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
49568000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
50072000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
50576000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
51080000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
51584000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
52088000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
52592000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
53096000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
53600000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
54104000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
