timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
496000,496000,1310996,1310996,-0.0014338641,-0.00010551775,-5.6299476e-05,0.0035570723,0.004926933,-0.050133128,4000,4000,0,0
1000000,1000000,1310996,1310996,-8.657461e-06,-2.5874282e-05,7.620397e-06,0.00036338432,-0.0025356833,-0.0383152,4000,4000,0,0
1500000,1500000,1310996,1310996,-4.8670368e-06,-8.6875684e-07,1.1814073e-05,-0.0006123756,-0.0021364326,-0.04006478,4000,4000,0,0
2000000,2000000,1310996,1310996,-4.8709294e-06,8.795845e-06,2.008369e-05,0.00031644624,-0.0025576397,-0.036921907,4000,4000,0,0
2500000,2500000,1310996,1310996,-1.1848545e-06,1.2948124e-05,6.480118e-07,-0.00023471357,-0.0024280273,-0.04101915,4000,4000,0,0
2996000,2996000,1310996,1310996,-4.526458e-05,4.140536e-05,4.882345e-06,0.0051814653,-0.0028007603,-0.044096407,4000,4000,0,0
3500000,3500000,1310996,1310996,2.7526448e-05,-8.627973e-06,-1.2122118e-05,0.00045605373,0.002158865,-0.040548272,4000,4000,0,0
4000000,4000000,1310996,1310996,1.2844168e-06,-2.4912422e-05,-4.7318696e-05,0.0012515163,0.0023247893,-0.03840726,4000,4000,0,0
4500000,4500000,1310996,1310996,-2.2728105e-05,-7.231848e-07,1.1973295e-05,9.930541e-06,-0.0024739874,-0.03844308,4000,4000,0,0
5000000,5000000,1310996,1310996,2.3459108e-06,1.997013e-05,4.5001557e-06,0.00035296695,0.0019814393,-0.039832864,4000,4000,0,0
5500000,5500000,1310996,1310996,-1.892335e-05,-2.4084063e-06,-1.09092825e-05,-0.00027536516,-0.0026332694,-0.03967307,4000,4000,0,0
6000000,6000000,1310996,1310996,-1.0434112e-05,1.2805652e-06,1.5171322e-05,0.00045022627,-0.0021921608,-0.038631693,4000,4000,0,0
6500000,6500000,1310996,1310996,-2.1110005e-05,4.129556e-05,-5.0660683e-06,-6.310589e-05,-0.002377921,-0.039672773,4000,4000,0,0
7000000,7000000,1310996,1310996,3.9490693e-08,-2.4223515e-05,3.290689e-05,0.0004486476,1.3106927e-05,-0.040044207,4000,4000,0,0
7500000,7500000,1310996,1310996,1.8672778e-05,-3.179561e-05,1.0657758e-05,0.00051478675,0.0025003853,-0.039598938,4000,4000,0,0
8000000,8000000,1310996,1310996,9.935754e-06,2.2856027e-05,5.4638363e-06,0.0020365093,0.0019666846,-0.036714803,4000,4000,0,0
8500000,8500000,1310996,1310996,1.1623933e-05,-1.7547569e-05,-1.8298902e-05,0.00047006516,0.0025152506,-0.040368047,4000,4000,0,0
9000000,9000000,1310996,1310996,4.659237e-06,2.6888306e-06,-1.4237391e-06,0.00075639563,0.0025132438,-0.03958928,4000,4000,0,0
9500000,9500000,1310996,1310996,-1.0467695e-05,-2.3006449e-05,-2.1165308e-05,0.0022710678,-9.440517e-05,-0.034938738,4000,4000,0,0
9996000,9996000,1310996,1310996,3.4262778e-06,1.9104597e-07,2.0500276e-05,9.987083e-05,0.0022827815,-0.040145125,4000,4000,0,0
10496000,10496000,1310996,1310996,1.7943987e-06,-2.9940735e-05,3.1166033e-05,0.00012386564,-2.3956678e-05,-0.039957628,4000,4000,0,0
11000000,11000000,1310996,1310996,5.3756994e-05,-3.414673e-05,5.0001895e-06,0.0007261001,0.0024576513,-0.03872508,4000,4000,0,0
11500000,11500000,1310996,1310996,-3.6962396e-05,-8.6246755e-06,-1.0380482e-05,0.0026163845,-0.002790814,-0.042964414,4000,4000,0,0
12000000,12000000,1310996,1310996,-2.6301052e-05,2.731174e-05,8.629837e-06,-7.4139454e-05,-0.0025376608,-0.039098434,4000,4000,0,0
12500000,12500000,1310996,1310996,1.2844122e-05,-2.1442163e-05,7.890597e-06,0.00033334288,-7.312395e-05,-0.04019436,4000,4000,0,0
12996000,12996000,1310996,1310996,-1.17415e-05,-4.5907476e-05,1.2689261e-05,0.0014206877,0.000339452,-0.03777506,4000,4000,0,0
13500000,13500000,1310996,1310996,2.2675868e-05,1.1793687e-05,-7.373765e-06,0.0017486123,0.001986065,-0.03706536,4000,4000,0,0
14000000,14000000,1310996,1310996,-9.719124e-07,-2.4814397e-05,-2.054015e-05,0.00039140644,0.0018300294,-0.039740417,4000,4000,0,0
14500000,14500000,1310996,1310996,3.087682e-05,-5.09005e-05,1.7444385e-05,0.0006299568,0.0022754977,-0.03789737,4000,4000,0,0
15000000,15000000,1310996,1310996,-5.753439e-05,-3.3023363e-05,2.0862062e-05,0.00041992904,-0.0025578088,-0.039695024,4000,4000,0,0
15500000,15500000,1310996,1310996,2.2077977e-05,1.2978064e-05,8.581509e-06,0.0015569382,0.00018592959,-0.036662124,4000,4000,0,0
