timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
20000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
524000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1028000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1232000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1520000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2024000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2528000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3032000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3536000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4040000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4544000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5048000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5552000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6056000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6560000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7064000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7568000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8072000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8204000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
8228000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
8732000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
9236000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
9596000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
10100000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
10604000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
11108000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
11612000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
12116000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
12620000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
13124000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
13628000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
14132000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
14636000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
15140000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
15644000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
16148000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
16652000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
17156000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
17660000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
18164000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
18668000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
19172000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
19676000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
20180000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
20684000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21188000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21692000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22196000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22700000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23204000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23708000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24212000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24716000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25220000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25724000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26228000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26732000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27236000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27644000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
28148000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
28652000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
29156000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
29660000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
30164000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
30668000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
31172000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
31676000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
32180000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
32552000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
33056000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
