timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0017363322,0.000103883045,4.1714355e-08,0.08647855,-0.026144523,-9.654475,0.0004048004,-0.0034727617,0.0005539375,11.827728,11.827728
1936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0007042425,2.6953448e-05,3.7003278e-09,0.097013034,-0.040126648,-9.797552,0.0008309062,-0.001043959,-0.0014913701,11.827728,11.827728
2936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00067523215,2.2002247e-05,6.273452e-10,0.1292869,-0.03945627,-9.799276,-2.1305288e-05,0.0007243798,-0.0008522115,11.827728,11.827728
3936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0004635427,2.0530368e-05,3.9165302e-10,0.04386178,0.019919932,-9.774088,0.00027696873,0.00036218992,0.0005752428,11.827728,11.827728
4936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00041356345,1.9567322e-05,3.511576e-10,0.018674767,-0.021356108,-9.766907,0.0008309063,-2.0451606e-11,0.0011717908,11.827728,11.827728
5936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0004999714,2.0139569e-05,3.4375927e-10,0.043574475,0.02834752,-9.780984,-0.0007669904,-0.000596548,-0.00063915865,11.827728,11.827728
6936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00042437355,1.940502e-05,3.377398e-10,-0.009864108,-0.012736982,-9.779452,-0.00017044233,-6.391584e-05,0.0018748653,11.827728,11.827728
7936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0003948983,2.0816238e-05,3.8923312e-10,0.05161899,-0.018291531,-9.725247,4.2610594e-05,-0.00072437973,-0.0008309062,11.827728,11.827728
8936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00054923474,1.9409768e-05,3.499155e-10,0.170946,0.008236223,-9.769205,6.3915846e-05,-0.00091612746,0.0002556634,11.827728,11.827728
9936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0005086235,1.895927e-05,2.9625788e-10,-0.002489968,-0.027964108,-9.71797,0.0011930962,0.00093743287,0.000809601,11.827728,11.827728
10936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00043132628,1.980508e-05,3.4679176e-10,-0.005075707,0.03390207,-9.773322,0.0016405073,0.00029827404,0.00074568496,11.827728,11.827728
11936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00048684076,1.9810552e-05,3.0582373e-10,0.047692496,-0.005554377,-9.743539,-0.0007882957,0.0017044228,0.0004048005,11.827728,11.827728
12936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00047060222,1.86389e-05,3.2435876e-10,-0.008427589,-0.030741377,-9.753882,-0.0011930962,-0.0010013487,-0.00023435813,11.827728,11.827728
13936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0005985077,1.9615718e-05,3.3808145e-10,0.1442267,-0.017046547,-9.700827,0.0012783173,0.0011717909,0.0031318774,11.827728,11.827728
14936000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00049396674,1.9635207e-05,3.560991e-10,-0.028538879,-0.029496394,-9.739038,0.0015765913,0.00019174762,-0.00019174756,11.827728,11.827728
