timestamp,saturation_status
1000000,1533
1996000,1533
3000000,1533
4000000,1533
5000000,1533
6000000,1533
7000000,1533
8000000,1529
8996000,1533
10000000,1533
10996000,1533
12000000,1533
13000000,1533
14000000,1533
15000000,1533
16000000,1
17000000,1
18000000,1
19000000,1
20000000,1
21000000,1
22000000,1
23000000,1
24000000,1
25000000,1
26000000,1
27000000,1
28000000,1
29000000,1
30000000,1
31000000,1
32000000,1
33000000,1
34000000,1
35000000,1
36000000,1
37000000,1
38000000,1
39000000,1
40000000,1
41000000,1
42000000,1
43000000,1
44000000,1
45000000,3
46000000,1
47000000,1
48000000,1
49000000,1
50000000,1
51000000,1
52000000,1
53000000,1
54000000,1
55000000,1
56000000,1
57000000,1
58000000,1
59000000,1
60000000,1
61000000,3
62000000,3
63000000,3
64000000,1
65000000,1
66000000,1
67000000,1
68000000,3
69000000,3
70000000,3
