timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
28000,0,0,1,0,0,0,0,0
532000,0,0,1,0,0,0,0,0
1036000,0,0,1,0,0,0,0,0
1288000,0,0,1,0,0,0,0,0
1516000,0,0,1,0,0,0,0,0
2020000,0,0,1,0,0,0,0,0
2524000,0,0,1,0,0,0,0,0
3028000,0,0,1,0,0,0,0,0
3532000,0,0,1,0,0,0,0,0
4036000,0,0,1,0,0,0,0,0
4540000,0,0,1,0,0,0,0,0
5044000,0,0,1,0,0,0,0,0
5548000,0,0,1,0,0,0,0,0
6052000,0,0,1,0,0,0,0,0
6556000,0,0,1,0,0,0,0,0
6808000,0,0,1,0,0,0,0,0
6832000,0,0,1,0,0,0,0,0
7336000,0,0,1,0,0,0,0,0
7840000,0,0,1,0,0,0,0,0
8344000,0,0,1,0,0,0,0,0
8848000,0,0,1,0,0,0,0,0
9352000,0,0,1,0,0,0,0,0
9856000,0,0,1,0,0,0,0,0
10360000,0,0,1,0,0,0,0,0
10864000,0,0,1,0,0,0,0,0
11332000,0,0,1,0,0,0,0,0
11836000,0,0,1,0,0,0,0,0
12340000,0,0,1,0,0,0,0,0
12844000,0,0,1,0,0,0,0,0
13348000,0,0,1,0,0,0,0,0
13852000,0,0,1,0,0,0,0,0
14356000,0,0,1,0,0,0,0,0
14860000,0,0,1,0,0,0,0,0
15364000,0,0,1,0,0,0,0,0
15868000,0,0,1,0,0,0,0,0
16372000,0,0,1,0,0,0,0,0
16384000,1,0,1,0,0,0,0,0
16888000,1,0,1,0,0,0,0,0
17392000,1,0,1,0,0,0,0,0
17896000,1,0,1,0,0,0,0,0
18400000,1,0,1,0,0,0,0,0
18904000,1,0,1,0,0,0,0,0
19408000,1,0,1,0,0,0,0,0
19912000,1,0,1,0,0,0,0,0
20416000,1,0,1,0,0,0,0,0
20920000,1,0,1,0,0,0,0,0
21424000,1,0,1,0,0,0,0,0
21928000,1,0,1,0,0,0,0,0
22432000,1,0,1,0,0,0,0,0
22936000,1,0,1,0,0,0,0,0
23440000,1,0,1,0,0,0,0,0
23944000,1,0,1,0,0,0,0,0
24448000,1,0,1,0,0,0,0,0
24952000,1,0,1,0,0,0,0,0
25456000,1,0,1,0,0,0,0,0
25960000,1,0,1,0,0,0,0,0
26464000,1,0,1,0,0,0,0,0
26968000,1,0,1,0,0,0,0,0
27472000,1,0,1,0,0,0,0,0
27976000,1,0,1,0,0,0,0,0
28480000,1,0,1,0,0,0,0,0
28984000,1,0,1,0,0,0,0,0
29488000,1,0,1,0,0,0,0,0
29992000,1,0,1,0,0,0,0,0
30496000,1,0,1,0,0,0,0,0
31000000,1,0,1,0,0,0,0,0
31504000,1,0,1,0,0,0,0,0
32008000,1,0,1,0,0,0,0,0
32512000,1,0,1,0,0,0,0,0
33016000,1,0,1,0,0,0,0,0
33520000,1,0,1,0,0,0,0,0
34024000,1,0,1,0,0,0,0,0
34528000,1,0,1,0,0,0,0,0
35032000,1,0,1,0,0,0,0,0
35536000,1,0,1,0,0,0,0,0
36040000,1,0,1,0,0,0,0,0
36544000,1,0,1,0,0,0,0,0
37048000,1,0,1,0,0,0,0,0
37552000,1,0,1,0,0,0,0,0
38056000,1,0,1,0,0,0,0,0
38560000,1,0,1,0,0,0,0,0
39064000,1,0,1,0,0,0,0,0
