timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
804000,0.0,0.0,0.0,1
2000000,0.0,0.0,0.0,1
2800000,0.0,0.0,0.0,1
4000000,0.0,0.0,0.0,1
4800000,0.0,0.0,0.0,1
5600000,0.0,0.0,0.0,1
6800000,0.0,0.0,0.0,1
8000000,0.0,0.0,0.0,1
8800000,0.0,0.0,0.0,1
10000000,0.0,0.0,0.0,1
10800000,0.0,0.0,0.0,1
12000000,0.0,0.0,0.0,1
12800000,0.0,0.0,0.0,1
14000000,0.0,0.0,0.0,1
14800000,0.0,0.0,0.0,1
16000000,0.0,0.0,0.0,1
30800000,0.0,0.0,0.0,1
31200000,0.0,0.0,0.0,1
31600000,0.0,0.0,0.0,1
32800000,0.0,0.0,0.0,1
