timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
184000,0.09773805,0.020239813,0.002397676,4000,0,-0.2442086,-0.64044875,-11.595119,4000,0
188000,0.053263243,0.035419885,0.006126066,4000,0,-0.1364695,-0.7996633,-11.009739,4000,0
192000,0.007989526,0.045273554,0.011185988,4000,0,-0.089782566,-0.9121907,-10.339359,4000,0
196000,-0.031957902,0.049800962,0.014648004,4000,0,-0.017956512,-1.0091559,-9.696517,4000,0
200000,-0.061785366,0.049800955,0.013049985,4000,0,0.088585466,-1.1336545,-9.10994,4000,0
204000,-0.08921598,0.042610325,0.006392192,4000,0,0.18914196,-1.1959039,-8.590398,4000,0
208000,-0.117445506,0.034620833,-0.0005319931,4000,0,0.2789245,-1.1827358,-8.097192,4000,0
212000,-0.1403487,0.025299797,-0.0066572735,4000,0,0.3387796,-1.1528081,-7.703345,4000,0
216000,-0.1605887,0.014381017,-0.00878775,4000,0,0.38666356,-1.0953472,-7.6027884,4000,0
220000,-0.18455714,0.0018643831,-0.006923435,4000,0,0.3423709,-1.031901,-7.764397,4000,0
224000,-0.21358557,-0.014381117,-0.008787415,4000,0,0.663194,-1.0881648,-8.913614,4000,0
228000,-0.24820666,-0.025300026,-0.010119403,4000,0,1.0606316,-1.1420342,-10.171766,4000,0
232000,-0.28788775,-0.02982705,-0.0074568125,4000,0,0.60453606,-0.986411,-9.856928,4000,0
236000,-0.32969943,-0.028495545,-0.0055931835,4000,0,0.116118796,-0.82959086,-9.531319,4000,0
240000,-0.3704458,-0.02263653,-0.0031968253,4000,0,0.083797075,-0.8140285,-9.943119,4000,0
244000,-0.41172472,-0.021305118,-0.0021310057,4000,0,0.44053316,-0.96127194,-11.313803,4000,0
248000,-0.45513424,-0.018642245,-0.0031964679,4000,0,0.78888947,-1.1300629,-12.5743475,4000,0
252000,-0.5022722,-0.010385551,0.0015963513,4000,0,0.3303999,-1.0606313,-11.708843,4000,0
256000,-0.5438175,-0.0031949244,0.006922872,4000,0,-0.22984335,-0.94451255,-10.635044,4000,0
260000,-0.5763082,0.0034616487,0.0047924486,4000,0,-0.3256114,-0.938527,-10.363304,4000,0
264000,-0.6079998,0.0127823055,0.00053087855,4000,0,0.3280057,-0.97324294,-11.192894,4000,0
268000,-0.61891866,0.0031950367,-0.003193804,4000,0,2.1440077,-0.56024295,-12.963406,4000,0
272000,-0.5933525,-0.025834559,-0.012244581,4000,0,2.825158,0.113724805,-12.974181,4000,0
276000,-0.54195327,-0.034890525,-0.026895696,4000,0,1.2976573,0.26455954,-11.388022,4000,0
280000,-0.4804341,-0.023970304,-0.03408973,4000,0,0.22505498,0.35434204,-10.511743,4000,0
288000,-0.39228362,-0.010652433,-0.025833163,4000,0,-0.15682021,1.1288663,-10.647015,4000,0
292000,-0.360592,-0.005592947,-0.026099531,4000,0,-0.13527243,1.4616606,-10.52611,4000,0
296000,-0.3281015,-0.001598211,-0.026365716,4000,0,-0.15203184,1.6915038,-10.350134,4000,0
300000,-0.3014698,0.00506021,-0.02237127,4000,0,0.3232172,1.978808,-11.012133,4000,0
304000,-0.27883288,0.012517813,-0.011186064,4000,0,0.83078814,2.1547823,-11.607092,4000,0
