timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
20000,0,0,1,0,0,0,0,0
524000,0,0,1,0,0,0,0,0
1028000,0,0,1,0,0,0,0,0
1244000,0,0,1,0,0,0,0,0
1520000,0,0,1,0,0,0,0,0
2024000,0,0,1,0,0,0,0,0
2528000,0,0,1,0,0,0,0,0
3032000,0,0,1,0,0,0,0,0
3536000,0,0,1,0,0,0,0,0
4040000,0,0,1,0,0,0,0,0
4544000,0,0,1,0,0,0,0,0
5048000,0,0,1,0,0,0,0,0
5552000,0,0,1,0,0,0,0,0
6056000,0,0,1,0,0,0,0,0
6560000,0,0,1,0,0,0,0,0
6608000,0,0,1,0,0,0,0,0
6644000,0,0,1,0,0,0,0,0
7148000,0,0,1,0,0,0,0,0
7652000,0,0,1,0,0,0,0,0
8156000,0,0,1,0,0,0,0,0
8660000,0,0,1,0,0,0,0,0
9164000,0,0,1,0,0,0,0,0
9608000,0,0,1,0,0,0,0,0
10112000,0,0,1,0,0,0,0,0
10616000,0,0,1,0,0,0,0,0
11120000,0,0,1,0,0,0,0,0
11624000,0,0,1,0,0,0,0,0
12128000,0,0,1,0,0,0,0,0
12632000,0,0,1,0,0,0,0,0
13136000,0,0,1,0,0,0,0,0
13640000,0,0,1,0,0,0,0,0
14144000,0,0,1,0,0,0,0,0
14636000,1,0,1,0,0,0,0,0
15140000,1,0,1,0,0,0,0,0
15644000,1,0,1,0,0,0,0,0
16148000,1,0,1,0,0,0,0,0
16652000,1,0,1,0,0,0,0,0
17156000,1,0,1,0,0,0,0,0
17660000,1,0,1,0,0,0,0,0
18164000,1,0,1,0,0,0,0,0
18668000,1,0,1,0,0,0,0,0
19172000,1,0,1,0,0,0,0,0
19676000,1,0,1,0,0,0,0,0
20180000,1,0,1,0,0,0,0,0
20684000,1,0,1,0,0,0,0,0
21188000,1,0,1,0,0,0,0,0
21692000,1,0,1,0,0,0,0,0
22196000,1,0,1,0,0,0,0,0
22700000,1,0,1,0,0,0,0,0
23204000,1,0,1,0,0,0,0,0
23708000,1,0,1,0,0,0,0,0
24212000,1,0,1,0,0,0,0,0
24716000,1,0,1,0,0,0,0,0
25220000,1,0,1,0,0,0,0,0
25724000,1,0,1,0,0,0,0,0
26228000,1,0,1,0,0,0,0,0
26732000,1,0,1,0,0,0,0,0
27236000,1,0,1,0,0,0,0,0
27656000,1,0,1,0,0,0,0,0
28160000,1,0,1,0,0,0,0,0
28664000,1,0,1,0,0,0,0,0
29168000,1,0,1,0,0,0,0,0
29672000,1,0,1,0,0,0,0,0
30176000,1,0,1,0,0,0,0,0
30680000,1,0,1,0,0,0,0,0
31184000,1,0,1,0,0,0,0,0
31688000,1,0,1,0,0,0,0,0
32192000,1,0,1,0,0,0,0,0
32600000,0,0,1,0,0,0,0,0
33104000,0,0,1,0,0,0,0,0
