timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6412000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
27628000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
30808000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
30856000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
30908000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
30956000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31008000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31056000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31108000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31156000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31208000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31256000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31308000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31356000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31408000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31456000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31508000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31556000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31608000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31660000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31716000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31768000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31816000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31868000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31916000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
31968000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32016000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32068000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32116000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32164000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32216000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32268000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32316000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32368000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32416000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32468000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32516000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32568000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32616000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32668000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32716000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
