timestamp,saturation_status
996000,1533
2000000,1533
3000000,1533
3996000,1533
5000000,1533
6000000,1533
6996000,1533
8000000,1533
9000000,1533
10000000,1533
11000000,1533
12000000,1533
13000000,1533
14000000,1533
15000000,1533
16000000,1
17000000,1
18000000,1
19000000,1
20000000,3
20996000,3
22000000,3
23000000,3
24000000,3
25000000,3
26000000,3
27000000,3
28000000,3
29000000,3
29996000,3
31000000,3
32000000,3
33000000,3
34000000,3
35000000,3
36000000,3
37000000,3
38000000,3
39000000,3
40000000,3
41000000,3
42000000,3
42996000,3
43996000,3
45000000,3
45996000,3
47000000,3
48000000,3
48996000,3
49996000,3
51000000,3
52000000,3
53000000,3
53996000,3
55000000,3
56000000,3
56996000,3
58000000,3
58996000,3
60000000,3
61000000,3
61996000,3
63000000,3
64000000,3
65000000,3
66000000,3
67000000,3
68000000,3
69000000,3
70000000,3
71000000,3
72000000,3
73000000,3
74000000,3
75000000,3
76000000,1
76996000,1469
78000000,1533
78996000,1533
80000000,1533
