timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
696000,696000,0,nan,nan,1.4951831e-06,8.87753e-07,2.1348342e-08,0.0,0.0,0.0,0.00044686423,0.0002313702,-2.475198e-05,-2.2778824e-05,0.0003584194,0.00025327393,0.0,0.026795214,-0.0030507187,-0.011061381,1.5774168,1.5774426,nan,0.10000262,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
996000,996000,0,nan,nan,0.0007288239,0.00078407046,-0.006395535,0.0,0.0,0.0,0.0038006033,0.0033062282,0.0025059558,-0.0037032133,0.0003584194,0.00025327393,0.0,0.0003355742,-0.049653754,0.06971036,1.5771582,1.5774426,nan,0.1,0.8984904,1.5665957,4.530985,0.45323652,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1492000,1492000,1200000,47.397742,8.545594,0.0037283008,0.0019511689,0.009379732,0.0,0.0,0.0,0.01289165,0.0052205306,0.008565787,0.016085947,0.0003584194,0.00025327393,0.0,0.025361825,-0.030011797,0.074502945,1.5772839,1.5774426,488.0455,0.103205174,0.6503956,0.94934696,1.8229616,0.4702795,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1992000,1992000,1200000,47.397742,8.545594,0.006263229,0.0018236337,0.012650816,0.0,0.0,0.0,0.014077062,0.0020896874,0.01263261,0.015034748,0.0003584194,0.00025327393,0.0,-0.024987465,0.040349588,-0.07877132,1.5773598,1.5774426,488.0455,0.1,0.5567124,0.82225245,1.140841,0.50216013,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2492000,2492000,1200000,47.397742,8.545594,0.0056539415,0.0021125895,0.012935818,0.0,0.0,0.0,0.007633992,0.006383902,0.017682184,0.013036809,0.0003584194,0.00025327393,0.0,-0.010883002,0.050626773,-0.0049872953,1.5769814,1.5774426,488.0455,0.1,0.64115185,0.7792719,1.5003759,0.5355751,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2992000,2992000,1200000,47.397742,8.545594,0.0009419169,0.003145469,0.024878513,0.0,0.0,0.0,-0.00020875684,0.008597316,0.025732074,0.02326662,0.0003584194,0.00025327393,0.0,0.0017406984,-0.020382645,0.04674581,1.5766262,1.5774426,488.0455,0.1,0.525344,0.7924558,1.2757311,0.5609935,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3492000,3492000,1200000,47.397742,8.545594,-0.0035023335,0.0034929041,0.034131467,0.0,0.0,0.0,-0.009490491,0.008504888,0.030238904,0.02466794,0.0003584194,0.00025327393,0.0,0.025482977,0.04108033,-0.013043235,1.5766983,1.5774426,488.0455,0.1,0.60009295,0.8244137,1.2537675,0.5715149,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3992000,3992000,1200000,47.397742,8.545594,-0.006169835,0.0037746103,0.032361824,0.0,0.0,0.0,-0.013217416,0.01178865,0.027234681,0.012406617,0.0003584194,0.00025327393,0.0,-0.024118328,-0.010977396,-0.024862649,1.5767032,1.5774426,488.0455,0.1,0.6612496,0.85338616,1.2237618,0.5669968,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4492000,4492000,1200000,47.397742,8.545594,-0.005606081,0.003332901,0.032958716,0.0,0.0,0.0,-0.0025358407,0.00460546,0.03232792,0.01256025,0.0003584194,0.00025327393,0.0,0.06726626,-0.02123687,0.061880726,1.5767773,1.5774426,488.0455,0.1,0.5160925,0.87038654,0.9587478,0.5513392,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4992000,4992000,1200000,47.397742,8.545594,0.0069968253,1.7366066e-05,0.033554893,0.0,0.0,0.0,0.03251596,-0.0023386867,0.029899541,0.007235725,0.0003584194,0.00025327393,0.0,0.094534844,0.0017481811,-0.029083403,1.5764761,1.5774426,488.0455,0.1,0.5696625,0.8752946,0.9753055,0.52962124,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
5492000,5492000,1200000,47.397742,8.545594,0.022978399,-0.0033826095,0.032585647,0.0,0.0,0.0,0.05352888,-0.007889913,0.030826325,0.0060895616,0.0003584194,0.00025327393,0.0,0.013105834,0.047704022,-0.0052443403,1.5762963,1.5774426,488.0455,0.1,0.623331,0.8719654,0.97894996,0.5060188,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
