timestamp,saturation_status
996000,1533
2000000,1533
3000000,1533
4000000,1533
5000000,1533
6000000,1533
7000000,1533
8000000,1533
9000000,1533
10000000,1533
10996000,1533
11996000,1533
13000000,1533
14000000,1533
15000000,1533
16000000,1533
17000000,1533
17996000,1
19000000,1
20000000,1
21000000,3
22000000,3
23000000,1
23996000,1
25000000,1
26000000,3
27000000,1
28000000,1
28996000,1
30000000,1
31000000,1
32000000,1
33000000,1
34000000,1
35000000,1
36000000,1
36996000,1
37996000,1
38996000,1
40000000,1
41000000,1
42000000,1
43000000,1
44000000,1
45000000,1
46000000,1
47000000,1
48000000,1
49000000,1
50000000,1
51000000,1
52000000,1
53000000,1
54000000,1
55000000,1
56000000,1
57000000,1
58000000,1
59000000,1
60000000,1
61000000,1
61996000,1
